endpoint_identifier,entry_idx,output
wf/polearms,0,"During the period from 1747 CE to 1826 CE, was the use of polearms, defined as a type of weapon that consists of a long shaft with a blade or other cutting implement at one end, present or absent as a military technology in the warfare practices of 'Durrani Empire'? Strictly choose the correct label from an unordered set: {A, C, B}. A = present, C = unsure (cannot determine from current evidence), B = absent"
wf/polearms,1,"During the period from 1025 CE to 1215 CE, was the use of polearms, defined as a type of weapon that consists of a long shaft with a blade or other cutting implement at one end, present or absent as a military technology in the warfare practices of 'Ghur Principality'? Strictly choose the correct label from an unordered set: {B, C, A}. B = absent, C = unsure (cannot determine from current evidence), A = present"
wf/polearms,2,"During the period from 256 BCE to 125 BCE, was the use of polearms, defined as a type of weapon that consists of a long shaft with a blade or other cutting implement at one end, present or absent as a military technology in the warfare practices of 'Greco-Bactrian Kingdom'? Strictly choose the correct label from an unordered set: {A, C, B}. A = present, C = unsure (cannot determine from current evidence), B = absent"
wf/polearms,3,"During the period from 408 CE to 561 CE, was the use of polearms, defined as weapons that are used in close combat and typically consist of a long shaft with a blade or other sharp point at one end, present or absent as a military technology in the warfare practices of 'Hephthalite Empire'? Strictly choose the correct label from an unordered set: {C, B, A}. C = unsure (cannot determine from current evidence), B = absent, A = present"
wf/polearms,4,"During the period from 388 CE to 477 CE, was the use of polearms, defined as a type of weapon that consists of a long shaft with a blade or other cutting implement at one end, present or absent as a military technology in the warfare practices of 'Kidarite Kingdom'? Strictly choose the correct label from an unordered set: {C, A, B}. C = unsure (cannot determine from current evidence), A = present, B = absent"
wf/polearms,5,"During the period from 35 CE to 319 CE, was the use of polearms, defined as weapons that combine a long handle with a heavy blade or point, present or absent as a military technology in the warfare practices of 'Kushan Empire'? Strictly choose the correct label from an unordered set: {C, A, B}. C = unsure (cannot determine from current evidence), A = present, B = absent"
wf/polearms,6,"During the period from 129 BCE to 29 CE, was the use of polearms, defined as weapons that are long-handled and have a blade or spike at the end, present or absent as a military technology in the warfare practices of 'Tocharians'? Strictly choose the correct label from an unordered set: {A, C, B}. A = present, C = unsure (cannot determine from current evidence), B = absent"
wf/polearms,7,"During the period from 25 CE to 220 CE, was the use of polearms, specifically halberds or dagger-axes, present or absent as a military technology in the warfare practices of 'Eastern Han Empire'? Strictly choose the correct label from an unordered set: {A, C, B}. A = present, C = unsure (cannot determine from current evidence), B = absent"
wf/polearms,8,"During the period from 265 CE to 317 CE, was the use of polearms, specifically halberds, present or absent as a military technology in the warfare practices of 'Western Jin'? Strictly choose the correct label from an unordered set: {A, B, C}. A = present, B = absent, C = unsure (cannot determine from current evidence)"
wf/polearms,9,"During the period from 1650 BCE to 1250 BCE, was the use of polearms, defined as weapons with a one-meter long shaft and a blade or axe head, present or absent in the warfare practices of 'Erligang'? Strictly choose the correct label from an unordered set: {C, A, B}. C = unsure (cannot determine from current evidence), A = present, B = absent"
wf/polearms,10,"During the period from 1850 BCE to 1600 BCE, was the use of polearms, defined as weapons with a one-meter long shaft and a blade or axe head, present or absent in the warfare practices of 'Erlitou'? Strictly choose the correct label from an unordered set: {B, A, C}. B = absent, A = present, C = unsure (cannot determine from current evidence)"
